pid,L1_prime,LX_target,stim_pair,condition,referent,translation,congruence,response,rt
1001,owca,rocepra,owca-rocepra,OIC,orthography,mismatch,congruent,correct,1.3897423000016715
1001,torba,lakob,torba-lakob,OCI,orthography,match,incongruent,correct,1.3795282999926712
1001,img_osa,sawiko,img_osa-sawiko,ICI,image,match,incongruent,incorrect,0.7553781000024173
1001,img_foka,obir,img_foka-obir,IIC,image,mismatch,congruent,correct,1.8437318000069352
1001,img_torba,lakob,img_torba-lakob,ICC,image,match,congruent,correct,0.9773218000045744
1001,ziemniak,pekom,ziemniak-pekom,OCC,orthography,match,congruent,correct,1.057036900005187
1001,jajko,debota,jajko-debota,OII,orthography,mismatch,incongruent,correct,1.7007456999999704
1001,img_skarpetka,prelata,img_skarpetka-prelata,III,image,mismatch,incongruent,correct,1.142666100000497
1001,palec,tobyla,palec-tobyla,OCI,orthography,match,incongruent,correct,0.8559029000025475
1001,kotwica,ezaja,kotwica-ezaja,OCC,orthography,match,congruent,incorrect,1.1485967000044184
1001,img_lustro,waben,img_lustro-waben,ICC,image,match,congruent,correct,1.788434199988842
1001,img_gazeta,techar,img_gazeta-techar,III,image,mismatch,incongruent,missed,N/A
1001,img_homar,deba,img_homar-deba,ICI,image,match,incongruent,correct,0.9634877999924356
1001,kolano,obir,kolano-obir,OII,orthography,mismatch,incongruent,correct,1.4519616000034148
1001,img_lotnisko,alo,img_lotnisko-alo,IIC,image,mismatch,congruent,correct,0.7920536999881733
1001,indyk,rojon,indyk-rojon,OIC,orthography,mismatch,congruent,correct,1.2069201
1001,silnik,prelata,silnik-prelata,OCC,orthography,match,congruent,correct,0.9799703000026057
1001,img_samolot,pakosta,img_samolot-pakosta,ICI,image,match,incongruent,correct,1.1312592000031143
1001,img_papuga,wema,img_papuga-wema,ICC,image,match,congruent,correct,0.7967692999955034
1001,papryka,sawiko,papryka-sawiko,OIC,orthography,mismatch,congruent,correct,0.8921656000020448
1001,img_ucho,stotewal,img_ucho-stotewal,IIC,image,mismatch,congruent,correct,0.7258617
1001,img_cytryna,pakosta,img_cytryna-pakosta,III,image,mismatch,incongruent,correct,0.7917956
1001,foka,nedonim,foka-nedonim,OCI,orthography,match,incongruent,correct,0.8869176999869524
1001,fartuch,ota,fartuch-ota,OII,orthography,mismatch,incongruent,incorrect,1.1141605000011623
1001,zegarek,fena,zegarek-fena,OCC,orthography,match,congruent,correct,0.9235339999868302
1001,img_cebula,staca,img_cebula-staca,ICI,image,match,incongruent,correct,1.2842371000006096
1001,lustro,ostana,lustro-ostana,OII,orthography,mismatch,incongruent,correct,1.560790999996243
1001,img_ucho,honisa,img_ucho-honisa,ICC,image,match,congruent,correct,0.7360794999985956
1001,dynia,abuset,dynia-abuset,OCI,orthography,match,incongruent,correct,0.8249452999880305
1001,img_samolot,beler,img_samolot-beler,III,image,mismatch,incongruent,correct,0.8863502999884076
1001,kotwica,fena,kotwica-fena,OIC,orthography,mismatch,congruent,correct,1.1462582
1001,img_palec,abuset,img_palec-abuset,IIC,image,mismatch,congruent,correct,0.8344074000051478
1001,img_butelka,uwa,img_butelka-uwa,III,image,mismatch,incongruent,correct,1.4710331999958726
1001,krawat,tanek,krawat-tanek,OIC,orthography,mismatch,congruent,correct,0.9067349999968428
1001,img_indyk,nanoch,img_indyk-nanoch,ICI,image,match,incongruent,correct,1.0526467000017874
1001,ryba,nalet,ryba-nalet,OII,orthography,mismatch,incongruent,correct,0.8732903999916743
1001,img_krowa,lakob,img_krowa-lakob,IIC,image,mismatch,congruent,correct,1.2770633000036469
1001,img_jajko,nalet,img_jajko-nalet,ICC,image,match,congruent,correct,0.7126352000050247
1001,koza,rojon,koza-rojon,OCC,orthography,match,congruent,correct,1.810698200002662
1001,dzwonek,josta,dzwonek-josta,OCI,orthography,match,incongruent,correct,0.7677878999966197
1001,img_fartuch,ota,img_fartuch-ota,IIC,image,mismatch,congruent,correct,0.9120573999971384
1001,img_cebula,sawiko,img_cebula-sawiko,III,image,mismatch,incongruent,correct,1.5301069999986794
1001,img_owca,techar,img_owca-techar,ICI,image,match,incongruent,correct,0.6595040999964112
1001,osa,lalum,osa-lalum,OIC,orthography,mismatch,congruent,correct,1.1128246000007491
1001,img_lalka,abedo,img_lalka-abedo,ICC,image,match,congruent,correct,0.7865934000001289
1001,oko,sodem,oko-sodem,OCC,orthography,match,congruent,correct,0.9300599999987752
1001,lustro,waben,lustro-waben,OCI,orthography,match,incongruent,correct,0.7557832000020426
1001,parasol,izodo,parasol-izodo,OII,orthography,mismatch,incongruent,correct,0.8430938000092283
1001,ucho,stotewal,ucho-stotewal,OII,orthography,mismatch,incongruent,correct,0.8954366999969352
1001,img_kotwica,ezaja,img_kotwica-ezaja,ICI,image,match,incongruent,correct,1.0180844999995315
1001,img_kaczka,nedonim,img_kaczka-nedonim,IIC,image,mismatch,congruent,correct,0.9437280999991344
1001,koza,rocepra,koza-rocepra,OIC,orthography,mismatch,congruent,correct,0.9048907999967924
1001,kapelusz,stotewal,kapelusz-stotewal,OCI,orthography,match,incongruent,correct,0.7465197999990778
1001,img_oko,pekom,img_oko-pekom,III,image,mismatch,incongruent,correct,0.9719834999996236
1001,img_lotnisko,badipret,img_lotnisko-badipret,ICC,image,match,congruent,correct,1.0436645999870962
1001,gazeta,rocepra,gazeta-rocepra,OCC,orthography,match,congruent,correct,0.6400381999847014
1001,img_mewa,lazin,img_mewa-lazin,III,image,mismatch,incongruent,correct,1.1882467999967048
1001,zegarek,ezaja,zegarek-ezaja,OIC,orthography,mismatch,congruent,correct,0.8517632000002777
1001,kaczka,nedonim,kaczka-nedonim,OII,orthography,mismatch,incongruent,correct,0.7672807000053581
1001,img_parasol,ota,img_parasol-ota,ICC,image,match,congruent,correct,0.8305397999938577
1001,img_zegarek,fena,img_zegarek-fena,ICI,image,match,incongruent,correct,0.7164198999962537
1001,samolot,pakosta,samolot-pakosta,OCC,orthography,match,congruent,correct,0.9265253000048688
1001,krowa,nuketo,krowa-nuketo,OCI,orthography,match,incongruent,correct,1.1362549000041329
1001,img_lustro,ostana,img_lustro-ostana,IIC,image,mismatch,congruent,correct,0.8546607000025688
1001,img_gazeta,rocepra,img_gazeta-rocepra,ICI,image,match,incongruent,correct,0.8026945999881718
1001,butelka,uwa,butelka-uwa,OIC,orthography,mismatch,congruent,correct,0.8735109999979613
1001,img_homar,staca,img_homar-staca,III,image,mismatch,incongruent,correct,0.7971948999911547
1001,ryba,alo,ryba-alo,OCI,orthography,match,incongruent,correct,0.5796526000049198
1001,winda,nalet,winda-nalet,OII,orthography,mismatch,incongruent,correct,0.9157756000058724
1001,butelka,chepra,butelka-chepra,OCC,orthography,match,congruent,correct,1.0137502999859862
1001,img_kapelusz,izodo,img_kapelusz-izodo,IIC,image,mismatch,congruent,correct,0.6114788999984739
1001,img_palec,tobyla,img_palec-tobyla,ICC,image,match,congruent,correct,0.5053938000055496
1001,silnik,fena,silnik-fena,OIC,orthography,mismatch,congruent,correct,0.6681751999858534
1001,img_papuga,abedo,img_papuga-abedo,IIC,image,mismatch,congruent,correct,0.7344672000035644
1001,parasol,ota,parasol-ota,OCI,orthography,match,incongruent,correct,0.7679523999977391
1001,img_papryka,lalum,img_papryka-lalum,ICI,image,match,incongruent,correct,0.4962830999866128
1001,img_fartuch,izodo,img_fartuch-izodo,ICC,image,match,congruent,correct,0.8513703999924473
